Date,Comment,Like,Dislike,Clean_comment,Comment_Lower,Summary_Tokenized,Comment_no_stopwords,Comments_stem,Sentiment score,Sentiment category
"Mar 04, 2018",EYYY ANYONE HERE FROM DISCOVER??? I LOVE THIS SM HOPE YOU NEWCOMERS ENJOY!!,57463,904,EYYY ANYONE HERE FROM DISCOVER I LOVE THIS SM HOPE YOU NEWCOMERS ENJOY,eyyy anyone here from discover i love this sm hope you newcomers enjoy,"['eyyy', 'anyone', 'here', 'from', 'discover', 'i', 'love', 'this', 'sm', 'hope', 'you', 'newcomers', 'enjoy']",eyyy anyone discover love sm hope newcomers enjoy,eyyy anyone discover love sm hope newcomers enjoy,0.8834,pos
"Mar 04, 2018","The art style is mesmerizing! Can't wait to see where this goes, this myth has always fascinated me~ [+please like the chapters to support the author/boost it in the charts!]",54296,674,The art style is mesmerizing Can t wait to see where this goes this myth has always fascinated me please like the chapters to support the author boost it in the charts,the art style is mesmerizing can t wait to see where this goes this myth has always fascinated me please like the chapters to support the author boost it in the charts,"['the', 'art', 'style', 'is', 'mesmerizing', 'can', 't', 'wait', 'to', 'see', 'where', 'this', 'goes', 'this', 'myth', 'has', 'always', 'fascinated', 'me', 'please', 'like', 'the', 'chapters', 'to', 'support', 'the', 'author', 'boost', 'it', 'in', 'the', 'charts']",art style mesmerizing wait see goes myth always fascinated please like chapters support author boost charts,art style mesmerizing wait see goes myth always fascinated please like chapters support author boost chart,0.9062,pos
"Mar 04, 2018",I'm from discover too.EDIT: I can't believe I got top comment this has never happened to me. So I guess id just like to say thank you for liking my comment. I love this myth and I can't wait to see the authors interpretation of this story come about😀💖🖤,30913,1263,I m from discover too EDIT I can t believe I got top comment this has never happened to me So I guess id just like to say thank you for liking my comment I love this myth and I can t wait to see the authors interpretation of this story come about,i m from discover too edit i can t believe i got top comment this has never happened to me so i guess id just like to say thank you for liking my comment i love this myth and i can t wait to see the authors interpretation of this story come about,"['i', 'm', 'from', 'discover', 'too', 'edit', 'i', 'can', 't', 'believe', 'i', 'got', 'top', 'comment', 'this', 'has', 'never', 'happened', 'to', 'me', 'so', 'i', 'guess', 'id', 'just', 'like', 'to', 'say', 'thank', 'you', 'for', 'liking', 'my', 'comment', 'i', 'love', 'this', 'myth', 'and', 'i', 'can', 't', 'wait', 'to', 'see', 'the', 'authors', 'interpretation', 'of', 'this', 'story', 'come', 'about']",discover edit believe got top comment never happened guess id like say thank liking comment love myth wait see authors interpretation story come,discover edit believe got top comment never happened guess id like say thank liking comment love myth wait see authors interpretation story com,0.9136,pos
"Mar 04, 2018",HEY YEAH HI IM A GREEK NERD AND I LOVE THIS MORE THAN ZEUS LIKES TO FUCK EVERYTHING THAT MOVES KTHNXSBAI,1817,24,HEY YEAH HI IM A GREEK NERD AND I LOVE THIS MORE THAN ZEUS LIKES TO FUCK EVERYTHING THAT MOVES KTHNXSBAI,hey yeah hi im a greek nerd and i love this more than zeus likes to fuck everything that moves kthnxsbai,"['hey', 'yeah', 'hi', 'im', 'a', 'greek', 'nerd', 'and', 'i', 'love', 'this', 'more', 'than', 'zeus', 'likes', 'to', 'fuck', 'everything', 'that', 'moves', 'kthnxsbai']",hey yeah hi im greek nerd love zeus likes fuck everything moves kthnxsbai,hey yeah hi im greek nerd love zeus likes fuck everything moves kthnxsbai,0.5423,pos
"Mar 04, 2018",Hades' phone: Apple=Pomegranate lol,943,6,Hades phone Apple Pomegranate lol,hades phone apple pomegranate lol,"['hades', 'phone', 'apple', 'pomegranate', 'lol']",hades phone apple pomegranate lol,hades phone apple pomegranate lol,0.4215,pos
"Jul 01, 2018","this satisfies my inner mythology nerd in a strange way. here, have some trivia: Minthe was a naiad, a kind of nymph, connected to a river in the underworld called cocytus. She tried to seduce Hades but his wife, Persephone, turned her into a (who would've guessed) mint plant, thus giving the plant its name :)",803,6,this satisfies my inner mythology nerd in a strange way here have some trivia Minthe was a naiad a kind of nymph connected to a river in the underworld called cocytus She tried to seduce Hades but his wife Persephone turned her into a who would ve guessed mint plant thus giving the plant its name,this satisfies my inner mythology nerd in a strange way here have some trivia minthe was a naiad a kind of nymph connected to a river in the underworld called cocytus she tried to seduce hades but his wife persephone turned her into a who would ve guessed mint plant thus giving the plant its name,"['this', 'satisfies', 'my', 'inner', 'mythology', 'nerd', 'in', 'a', 'strange', 'way', 'here', 'have', 'some', 'trivia', 'minthe', 'was', 'a', 'naiad', 'a', 'kind', 'of', 'nymph', 'connected', 'to', 'a', 'river', 'in', 'the', 'underworld', 'called', 'cocytus', 'she', 'tried', 'to', 'seduce', 'hades', 'but', 'his', 'wife', 'persephone', 'turned', 'her', 'into', 'a', 'who', 'would', 've', 'guessed', 'mint', 'plant', 'thus', 'giving', 'the', 'plant', 'its', 'name']",satisfies inner mythology nerd strange way trivia minthe naiad kind nymph connected river underworld called cocytus tried seduce hades wife persephone turned would guessed mint plant thus giving plant name,satisfies inner mythology nerd strange way trivia minthe naiad kind nymph connected river underworld called cocytus tried seduce hades wife persephone turned would guessed mint plant thus giving plant nam,0.6808,pos
"Mar 04, 2018",What? Zeus actually likes Hera???,440,5,What Zeus actually likes Hera,what zeus actually likes hera,"['what', 'zeus', 'actually', 'likes', 'hera']",zeus actually likes hera,zeus actually likes hera,0.4215,pos
"Mar 06, 2018",Oh my gods! I'm a huge fan of Greek mythology and Persephone's story with Hades it's one of my favorites so I'm excited to read your version 😊,363,8,Oh my gods I m a huge fan of Greek mythology and Persephone s story with Hades it s one of my favorites so I m excited to read your version ,oh my gods i m a huge fan of greek mythology and persephone s story with hades it s one of my favorites so i m excited to read your version ,"['oh', 'my', 'gods', 'i', 'm', 'a', 'huge', 'fan', 'of', 'greek', 'mythology', 'and', 'persephone', 's', 'story', 'with', 'hades', 'it', 's', 'one', 'of', 'my', 'favorites', 'so', 'i', 'm', 'excited', 'to', 'read', 'your', 'version']",oh gods huge fan greek mythology persephone story hades one favorites excited read version,oh gods huge fan greek mythology persephone story hades one favorites excited read vers,0.8316,pos
"Mar 04, 2018",YES FINALLY IM SO HAPPY FOR YOU AUTHOR,312,7,YES FINALLY IM SO HAPPY FOR YOU AUTHOR,yes finally im so happy for you author,"['yes', 'finally', 'im', 'so', 'happy', 'for', 'you', 'author']",yes finally im happy author,yes finally im happy author,0.7506,pos
"Jul 15, 2018",Percy Jackson anyone,314,14,Percy Jackson anyone,percy jackson anyone,"['percy', 'jackson', 'anyone']",percy jackson anyone,percy jackson anyon,0.0,neu
