Date,Comment,Like,Dislike
"Jan 21, 2020",DISCOVER SQUADDD,48094,859
"Jan 21, 2020","I’ve always wanted to say this... DISCOVER SQUAD ASSEMBLE!! edit: did anyone else find the comic through the YouTube channel? If not from here or YouTube where? I’m very curious. edit2: also I hope whoever is reading this has a wonderful day and know that they are loved and appreciated. Edit 3 this is in 2024, to all those who are rereading, I hope things are better now and you know you are still loved and appreciated; for those reading for the first time, I hope you have a wonderful life <3 more",40512,850
"Jan 21, 2020",Counted down the minutes like it was New Years. Welcome back.,31950,267
"Jan 21, 2020",I guess his 4th relationship this month is comin,1091,5
"Jan 21, 2020","Congratulations on making to Originals you deserve it! Edit: Everyone I know will probably say ""Earth to [Redacted]"" while I'm reading this Webtoon.😅",724,13
"Dec 02, 2020",If his personality is like that how did he get so many girlfiends??,376,5
"Jan 21, 2020",Where the OGs at?,346,21
"Jan 21, 2020",DO YOU REMEMBER THE TIME...when this webtoon had 12 episodes,282,6
"Jan 21, 2020","Kade, back with that weird obsession of a certain smth? 😂😉",194,4
"Jan 21, 2020",Oh my god that cat though. 😻😻,178,1
"Jan 21, 2020",DISCOVER SQUAD WHERE WE AT i have MISSED THIS SO MUCH AHHHHH,185,17
"Jan 21, 2020","Everyone in this webtoon is so attractive, even the random customers",165,2
"Dec 02, 2020","Even though I feel for him, that chick was right. He's wasting everyone's time and feelings that he's dating while he's not really into it.",131,3
"Jan 21, 2020","Ahhhhhhhhhhh yay I’ve missed down to earth sooo much, welcome back",114,1
"Jan 21, 2020",I was so happy I squealed and concerned my roomate.,101,1
"Jan 21, 2020",CANVAS CREW,57,4
"Jan 21, 2020","OMG, it's back I literally sreamed when I got the notification",52,2
"Dec 27, 2020",did anyone else get the zylith has seen some aliens notification? and was secretly hoping that this was gonna be a crossover of some sort? just me? ok,46,1
"Dec 02, 2020",I thought I'm here for free coins but I think I'm here to read another story that I'm going to be addicted to.,33,0
"Dec 27, 2020",I thought it's our soft boy aka cinamon roll aka sleeping seaweed's Zylith but oh.....its not.,31,1
"Dec 27, 2020",That notification really confused me,30,1
"Dec 02, 2020",free coins if i reread one of my favorite series? done,31,3
"Jan 21, 2020","She's even more beautiful than she already was, the art improved so much !!",67400,238
"Jan 21, 2020","did any one else read ""the rumor come out is Bruno Mars gay?"" on the computer?",15756,178
"Jan 21, 2020",That's just Starfire with turquoise hair.Kade is just a depressed Robin.,7005,89
"Jan 21, 2020",Y’all. She’s so pretty wtf,759,5
"Jan 21, 2020",Almost had Starfire moment. Guess her species doesn't kiss to get a new language.,654,0
"Jan 21, 2020","Anyone else notice in the Earth description ""The rumor come out does Bruno Mars is gay?""😂😂😂",432,3
"Jan 22, 2020",Funny. The language she was speaking looked a lot like my math homework.,405,0
"Jan 21, 2020",is he still into collar bones?,228,4
"Feb 12, 2020",I’m not the only one that tried reading the alien text right....,175,0
"Jan 21, 2020",I think she ment she comes in peace,157,2
"Jan 21, 2020","The rumor come out, Does Bruno Mars is gay?",125,1
"Jan 21, 2020",Is it just me or is she a lot THICCER then I remembered,130,7
"Jan 21, 2020","The rumor come out, does Bruno Mars is gay",70,1
"Jun 24, 2020",He said  : 👁👄👁 She really said: 😚✌🏻,61,0
"Jan 21, 2020",DISCOVER SQUAD WHERE YOU AT!?!?!?!?!?!?!?,64,7
"Jan 21, 2020",Who else read the panel where he falls in her ship and sees her language? XDD,53,1
"Jan 21, 2020",OHMYGODILITERALLYFIRSTSAWTHISYEARSAGOONYOUTUBEANDITSFINALLYMADEITTHISFAROHMYGOSHSENDHELPIMHAVINGASEIZURE 𝘒𝘈𝘙𝘌𝘕𝘎𝘌𝘛𝘔𝘠𝘐𝘕𝘏𝘈𝘓𝘌𝘙,41,2
"Apr 12, 2020",this is weird because my name is zayda 🖖,36,0
"Jul 01, 2020","Me: Mom, I’m bisexual My mom: really? How did you find out? Me: a comic",29,1
"Jan 21, 2020",Did anyone else see the does Bruno Mars is gay Easter egg in the wreck part?,27,0
"Nov 29, 2020",my bi ass simping for both like: 🤠 yeehaw,27,2
"Jan 21, 2020","When an animated character looks cuter than you😭😭😭  Edit: okay guys I get it’s not animated , just saying in general😭",65350,515
"Jan 21, 2020",THIS WAS DEFINITELY WORTH THE WAIT,43623,246
"Jan 21, 2020",I’ve literally watched the clock all day waiting for this! Welcome back and CONGRATS ON FEATURED!!! ❤️💕🎉,30595,232
"Jan 21, 2020",Is it just me or did zaida become dummy thicc,1403,11
"Jan 21, 2020",Whenever I like someone’s house I will is say “your house is delicious”,1086,1
"Jan 21, 2020","Zaida used puppy dog eyes, it was supper effective.",681,4
"Jan 21, 2020",I JUST REALIZED SHE REMINDS ME OF STARFIRE This is basically like an alt meeting between Robin and Star from teen titans and I love it,601,5
"Jan 21, 2020",ITS BACK AND ZADIAS EYES ARE SOMEHOW EVEN MORE STUNNING THAN “EYE” REMEMBER....ok ima head out for that lame pun 😢,297,2
