Date,Comment,Like,Dislike
"Nov 28, 2023","The art, the character design, the milk mafia child I’m HERE 👏🏻FOR👏🏻 IT👏🏻",74731,136
"Nov 28, 2023",Ok but his son demanding chocolate milk was so adorable,62749,147
"Nov 28, 2023",he recognized the name I bet.,47322,95
"Nov 28, 2023",We respect the Milkman in this house.,4632,11
"Nov 28, 2023","don't deny it, you thought it spyXfamily when you clicked",2931,86
"Nov 28, 2023",Milk Mafia Child giving Boss Baby Vibes,2124,7
"Nov 28, 2023","""I have demands too..."" MIKEY, YOUR TOO CUTE FOR YOUR OWN GOOD!",1940,8
"Nov 28, 2023",angelini sounds like a pasta,1542,6
"Nov 28, 2023","kid: ""choccy or glocky, you pick""",1245,4
"Nov 28, 2023","Mafia story ✔️ handsome lead ✔️ power couples ✔️ adorable child,  COUNT ME IN ‼️",910,8
"Nov 28, 2023",Don’t be such a buzzkill dad and use his proper code name 🤦,673,3
"Nov 28, 2023",i respect The Milkman,452,3
"Nov 28, 2023",Is this the college Mary Poppins went to?! Sign me up!,450,3
"Nov 28, 2023",He’s got so much money but his shirt doesn’t fit,329,1
"Nov 28, 2023",The way I SQUEALED when I saw this on insta 😭,247,2
"Nov 28, 2023","right off the bat, Mrs. Bremerton is my favorite character archetype: sexy",241,2
"Nov 28, 2023","uh, excuse me, Mr. Angelini. without the milk, the negotiation doesn't seem an advantageous one for you. Mikey is right, milk that man some more😏",161,1
"Nov 28, 2023",I too have demands.,145,1
"Nov 28, 2023",LMAO THIS IS SO FUNNY 😭😭,121,0
"Nov 28, 2023","OOOH I’m so excited for this already! gorgeous art, interesting characters, advanced driving… looking forward to seeing where this goes! hope she gets her answers and the tiny brat gets his chocolate milk",97,1
"Nov 28, 2023",GIVE HIM DA MILK🥛🥛 and make it double,81,0
"Nov 28, 2023",Give the child his milk.,69,0
"Nov 28, 2023","mafia, agent nanny, cute 'milkman' kiddo? OKAY YOU GOT ME I'M SEATED",59,1
"Nov 28, 2023",NOT A KIDNAPPING ALREADY,75398,96
"Nov 28, 2023",Where is everyone,41101,121
"Nov 28, 2023",Please just a little romance??🫠,39411,1492
"Nov 28, 2023",I think this kidnapping is staged. To test how capable she is of caring for his son.,9345,9
"Nov 28, 2023","okay but like mikey being like ""You Need Me."" was actually so cute TT little kids being serious are so silly, I smell a slow burn coming seeing as its 'no romance' in the romance genre",4262,7
"Nov 28, 2023",“No romance” famous last words 😂,3402,6
"Nov 28, 2023",What a way to start your first day…,1853,3
"Nov 28, 2023",IT'S HER FIRST DAY ON THE JOB LET HER BREATHE FIRST DEAR KIDNAPPERS,1424,1
"Nov 28, 2023",They way my 🫁  shrieked DADDY when he locked the car doors. I need therapy.,888,35
"Nov 28, 2023",Headmistress: “No romance.” Entire fandom: *LAUGHS HYSTERICALLY* 🤣🤣🤣,827,5
"Nov 28, 2023",'no romance' bold lol i bet all my savings that one rule will be broken,633,3
"Nov 28, 2023",There are two of them.🤣,513,1
"Nov 28, 2023",Great guards you got on the property!,415,1
"Nov 28, 2023",I hope the kidnapping is just a test.,378,0
"Nov 28, 2023",Boy got kidnapped already and it's just her first day 😭😭,275,0
"Nov 28, 2023",Girl's gonna get fired within 10 minutes on the job? this is a world record,249,0
"Nov 28, 2023",I feel like this is a set up to test her. I mean come on what are the odds the very first day the moment she takes her eyes off him. not to mention he been ran off how did she come out at the perfect time to see them throw him in the van and drive off??,209,0
"Nov 28, 2023",oh no hes hot,160,2
"Nov 28, 2023",The Milkman got his milk!,127,1
"Nov 28, 2023","well, about safety ... how about we put the four-year-old in a proper car seat? 😅",124,0
"Nov 28, 2023",He really doesn't have any other security? Some guards maybe? It's not like he's trying to keep a low profile,95,0
"Nov 28, 2023",That’s totally staged to test how skilled she actually is,71,0
"Nov 28, 2023",Are we shipping or sinking??,54,2
"Nov 28, 2023",Cute kid + Badass FL + Hot ML = You have my interest 👀,70993,218
"Nov 28, 2023",Mikey: I like her she’s scary and hugged me Me: we got the little one’s approval that’s all I need,68118,124
"Nov 28, 2023",Ayyy she passed. A great nanny already Edit: not the mother😭 the test.,39770,63
"Nov 28, 2023",did he never wash the ring or,4731,7
"Nov 28, 2023",I kinda agree with him. It was better to have the Milkman part of the test.,3359,5
"Nov 28, 2023",I wish I discovered this story when there's already 100+ chapters 😭,2558,1
"Nov 28, 2023",I love the depictions of their pasts as a ghost that's beside them,1674,2
"Nov 28, 2023",I love how she uses the fucking trashcan lid to beat the shit out of two people,1595,2
"Nov 28, 2023","daaang she can get it also the hug when mikey reminds her of  her youngerself TT  adam seemed so cool I was gonna be seriously mad if he really was a rat, happy he wasnt though ^^",1019,0
"Nov 28, 2023",unoficially adopting the child starts now,734,0
"Nov 28, 2023",mickey was surprised that she hugged him but the girl still traumatized about her life dang,672,0
"Nov 28, 2023","me seeing his wife, i stopped the shipping . she too much beautifull for wanting another couple... learning she was dead... return ship XD",554,6
"Nov 28, 2023",The kid is soo cute! Honestly don’t blame the dad he is a walking target and his son is his world! I’d test the nanny too nothing personal  ‘|_~_~_|,371,3
"Nov 28, 2023",I need more episodes asap 😩,280,0
"Nov 28, 2023","I’m a part time nanny myself, and now I think I should get some self defence training.",260,0
"Nov 28, 2023","Solid start, im interested for now",249,1
"Nov 28, 2023",Adam better sleep with one eye open at night cuz our girlie is MAD,204,0
"Nov 28, 2023",They're lucky she went in non-lethal.,168,1
"Nov 28, 2023","“You pass,” No I quit, thank you🤭",158,1
"Nov 28, 2023","Hook - line - and SINKER - I’m invested now. Gotta see it to the end, I mean we got a badass independent and strong FL, a hot mafia boss ml and a spunky sassy son that is a whole vibe. Can’t keep me away.",145,0
"Nov 28, 2023",I got invested way too early now I shall bear the consequence of waiting,65,1
"Nov 28, 2023",soo we are talking about the murder of the mother of the child right before the child? ah well i guess the kid is used to crap but still. love how he approves of her tho,57,0
"Nov 28, 2023",wait oof the webtoon is juicy like that turkey I had but okayyy new webtoon starting strong,55,0
"Nov 28, 2023",Mikey definitely takes after his papa when it comes to his attitude.,58485,61
"Nov 28, 2023",I love this too much already! The story and art is so captivating.  I can see myself spending coins when it gets to the cliffhangers. 🥲,33180,84
"Nov 28, 2023",I’m so excited to see where this goes I love the expressions and the style !!!!,27615,49
"Nov 28, 2023",Dude stays in her face 😭 sir let her breathe PLEASE,4967,6
"Nov 28, 2023",now I wonder why he **really** wanted her on the task 👀,2877,7
"Nov 28, 2023",He just asked her to stay and then threatened her… again. Make up your mind.,2012,2
"Nov 28, 2023",What does it mean that she smells like oranges? ...  they already mention it several times 🤔🤔🤔🤔....,1803,2
"Nov 28, 2023","she's a badass AND she can be silly!  Davina is such a doll, even if she does smell like oranges",1061,0
"Dec 05, 2023","ok i know she's trained for it, but rarely do I see in webcomics such an accurate understanding as to why kids do what they do, as someone who works with kids I'm loving it",811,2
"Nov 28, 2023","I noticed how Gabriel manages to close their physical distance every time they talk, he had no need to stay THAT close to Davina yet he did 😌",602,5
"Nov 28, 2023",“I won’t settle for anyone else” AAAAHHHHH🥰☺️,509,11
"Dec 05, 2023",im sorry but why does mikey remind me of damien but younger and with out trained by assasins? xd,408,1
"Nov 28, 2023",Hmmm... he knows things about her. *OR* He just thought she was pretty? lol,316,1
"Nov 29, 2023",Whomever designed Mr Angelini watched Jojo’s and you’re not gonna convince me otherwise,246,1
"Nov 28, 2023",Bibbity boppity my money is now this webtoons property-,218,1
"Dec 05, 2023","Reminds me of Nanny McPhee. ""When you don't want me but need me, i will stay. When you want me but don't need me, i will go"".  I love Nanny McPhee.",201,0
"Dec 05, 2023",Bro never heard of personal space 💀,194,0
"Dec 05, 2023","🗣️THEORY TIME! Now I could be reaching with this one but… I think Mikey might not be his biological son. (HEAR ME OUT☝🏾) Despite being the underboss, why isn’t Angelini next in line and his son is?  Although we have yet to know if Angelini has any siblings or cousins, wouldn’t it make sense?",150,0
"Dec 05, 2023","I like how expressive Davina is. A lot of the time, FL's don't get to be so dynamic.   She's a cutie on top of that, looking forward to when she finally gets to let her hair down",127,0
"Nov 28, 2023",bro if you're so concerned about it then why not choose somebody who specializes in combat ???,123,0
"Nov 28, 2023",CANNOT STOP READING,73,0
"Nov 28, 2023",LONG LIVE MIKEY,62,0
"Dec 05, 2023",WHY DOES MIKEY HAVE A CHOCOLATE MILK ADDICTION!! 🥹😂ITS LIKE A BABY ADULT! WHO CARES ABOUT DRUGS CHOCOLATE MILK FOR THE WIN 🤪,57,0
"Nov 28, 2023",Dont be surprised if it was his own uncle (the don) that killed his wife. I think he wants Mikey to be free from his family. It's like the body guards/employees are watching his every move in the house to report back 👀,85017,87
"Nov 28, 2023",There must be spies within his own household. The ml maybe knows the fl when she was child which would make sense why he pick a newbie than a senior. Edit: it’s the comment section not thesis paper or resume…idc about grammar when comes to comments…,57768,133
"Nov 28, 2023",The Angelini Family seems to have layers of never ending secrets…,40304,46
"Nov 28, 2023",He wants out of the mafia for his son’s sake! I’m soooo invested!!,5417,10
"Nov 28, 2023","I wonder if he tried to get them out before, and that's why they murdered his wife?",3889,3
"Nov 28, 2023",He wants to get his son out. he doesn't want his employees to hear because they will report to the Don. I'm guessing the Don murdered his wife too.,2736,1
"Nov 29, 2023","Ohhhhh he chose her because she grew up part of the life like Mikey, but is also out—HE WANTS HIS SON OUT 😭",1837,1
"Nov 28, 2023",They are definitely adding some tracking/spy software to her laptop.,1379,0
"Nov 28, 2023",I bet he wants Mikey to choose his own path :(,977,4
"Nov 28, 2023",I bet every time he leans in close he sniffs. 🍊 👃🏻,865,7
"Dec 12, 2023",He was gonna say “to deal with his chocolate milk addiction”,758,1
"Dec 12, 2023","Most importantly, why was he being so seductive with it?",382,6
"Nov 28, 2023",I want Mikey to be free and escape this life!,342,0
"Nov 28, 2023",I honestly want to keep seeing Miley!! He's too cute!! (even the way he acts),248,2
"Nov 30, 2023",Mafia Boss Gojo is fine af!,229,1
"Nov 28, 2023",This story already has me stressed out. 😅 But I'm excited to see where this goes!,196,0
"Nov 28, 2023",The tension yall THE TENSION!!,178,0
"Dec 12, 2023",Pretty sure ml doesn't trust his own family and can't fight back if they're threatening his son. I mean why is Mikey being groomed as the successor when he's just five...anyways looks like Davina will have a lot more on her hands than just looking after Mikey and I am here for it.,147,1
"Dec 11, 2023",I just wanna hug that little boy,119,1
"Dec 08, 2023",I don't think he wants Mikey to take over the business,106,0
"Dec 12, 2023","I fully expect to get a ""who did this to you?"" scene because this story is filled with that kinda vibe, if that makes sense",93,0
"Dec 12, 2023",He told her to act...scared... That is so strange. He is definitely being watched in his own household.,69,0
"Nov 28, 2023",I'm so invested in this I'm dying,67,0
"Nov 28, 2023",Davina empathizes with Mikey because of what she went through as a child🥺,60090,218
"Nov 28, 2023","Oh, poor Mikey. He has to learn how to be a kid and also learn to be like his father but in a different way than he thought. We have a long way to go and I'm willing to stay from the start to the end! Protect Mikey at all costs!!",42642,58
"Nov 28, 2023",Mikey reminds me of Anya from Spy x Family,35854,334
"Nov 28, 2023",who else has a sneaky feeling they're monitoring her laptop?,5032,5
"Nov 28, 2023","Old enough to want to be a part of his dad's life, but young enough to not know any better... Smart enough to be involved,  but innocent enough to not see there's a choice.",2689,1
"Nov 29, 2023",Poor Mikey. He’s obviously terrified of losing his dad too.,1905,2
"Nov 28, 2023","Leave the gun, take the crayons.",1417,1
"Dec 06, 2023","Oh. Every time his papa leaves Mike fears he might never see him again. At least while they are together, no matter what happens they are still together.",1149,2
"Nov 28, 2023","We noticed the stuffed ""culprit"" in his backpack🤭",910,0
"Dec 13, 2023",Maybe they should give him ways to listen in/easily contact his father while these meetings occur. Making him go cold turkey isn't gonna work but slowly weaning him off of the mob boss life would be more effective and still make him feel he isn't losing his father.,552,1
"Dec 19, 2023","somebody knows croatia exists??? 🥰🇭🇷 even if it's a crime syndicate, I feel represented hahah",499,1
"Dec 19, 2023",It seems she didn't check to see if her laptop was tampered or what they tried to access... 🤔,402,1
"Dec 19, 2023",Poor kid he really thought she’d back him up I feel so bad 😭😭😭,341,3
"Nov 28, 2023",aw poor baby :(,301,0
"Dec 19, 2023","Mikeys puppy dog eyes in this chapter made me realize how he ends up accessing all those ""off limit""  chocolate milks😂",266,0
"Nov 28, 2023",if you're so good at cybersecurity why wouldn't you CHECK YOUR LAPTOP FOR ANY BUGS,207,0
"Nov 28, 2023",I hope we get to see more of FLs background and see how she grew up,164,0
"Nov 28, 2023",Ok didn’t expect my heat to be tugged on by Miky dang.,93,0
"Dec 06, 2023",Violet this story is so good already! it will be huge one day! you're doing amazing and thank you,78,0
"Dec 19, 2023","I love the potential Davina and Mikey relationship has, like she actually understands him to a certain extent and maybe he can open up and vent some of the things that might be overwhelming.",71,0
"Nov 28, 2023",MY HEART!,67,0
"Dec 04, 2023",This boy sounds way way way too serious and mature for his age…,63,0
"Nov 28, 2023",When she was doing her research on the laptop I thought he was right behind her😂,57,0
"Nov 28, 2023","Not gonna lie, the martini glass just FULL of olives REALLY caught me off guard edit: I’ve been on WEBTOON since I was 12, (now 22) so, thank you all for honoring me with my first top comment Update #5: Marceline the baby queen is now 6 months old and doing phenomenal! She says thank you all you wonderful people for the good wishes, and read Mafia Nanny!!",61049,385
"Nov 28, 2023",Mikey ya lil jerk 😭,53492,94
"Nov 28, 2023",Mikey… Yk she gonna find you.,42814,53
"Nov 28, 2023",Wow Don loves extra dirty martinis. Honestly that’s an olive salad with vodka dressing,6248,11
"Nov 28, 2023","THAT FACE!!! OMG SOOOO CUTE!!! But then again, was it all just a trick? I think yes!",2317,2
"Nov 28, 2023","He likes ducks 🥹🫠🪿  Also, I think it's really cool the intense web of Mafia backstory the author has going on. They probably had to do research on relations between different countries and export/import analysis, and we stan an author who does the leg work 👌",1743,1
"Nov 28, 2023",I’m absolutely loving this new series. It’s refreshing right off the bat for me. The art style kind of reminds me of Purple Hyacinth. Anyway! I’m looking forward to reading 🤩,1482,2
"Nov 28, 2023","here you go duckies, don't fight *drops the whole loaf in the fountain and lets them all go to purge*",1453,3
"Nov 28, 2023","damn, that kid sure is slippery. Davina has her work cut out for her",765,0
"Nov 28, 2023",This Lil bastard....lmaoooo I love how he tells the duckies not to fight...and then throws the rest of the loaf in and they're all killing each other like seagulls.....,741,0
"Nov 28, 2023",the dirtiest martini I have EVER seen in my LIFE 🤣,592,0
"Nov 28, 2023",New villain prop unlocked - martini glass full of olives.,507,0
"Dec 12, 2023",that man is 100000% the villian.. THAT IS TOO MANY DAMN OLIVES!!!!,424,1
"Nov 28, 2023",Nooo Mikey ducks shouldn’t eat bread its not good for em,357,1
"Dec 23, 2023",My husband is Italian and I can confirm Italians love olives. 🫒  My husband’s grandpa literally eats a bowl of green and black olives with a toothpick as a snack. No juice too.,327,1
"Nov 30, 2023",Oh no... The uncle is hot..,226,4
"Nov 30, 2023",What??? Something ugly hiding below the surface in the home of a mafia boss?? Well no shit! 🙄,187,1
"Dec 02, 2023",Did that driver really just took off with a 4 yr old alone?,185,2
"Nov 28, 2023",Mikey’s Day Out!,145,1
"Dec 26, 2023","⚠️ Wrong translation : "" Vas à la gare ?"" is not a right sentence it should be ""Vous allez à la gare ?"" or at least ""Tu vas à la gare ?""  (French native speaker here 🇫🇷)",137,2
"Nov 28, 2023",ultra hide and seek,115,1
"Nov 28, 2023",I was gonna mention something about the olives but I see the comment sections already got that covered,81,1
"Dec 18, 2023",I would like this to get  an anime adaptation this is too good,69,1
"Nov 28, 2023",Burned my coins faster than Mikey’s escape,53242,126
"Nov 28, 2023",No I need more!!,31075,85
"Nov 28, 2023","Well. Time to wait for a week as I just fast passed them all and there goes almost all of my coins but it's worth it. But also, I really hope Mikey is still in his room when they open the door...",26978,80
"Nov 28, 2023","Davina needs to work on the local language, but her driving skills are on point. Also, nice of the author to include a cameo of us, the audience, squeeing over Mikey in his little suit.",3957,2
"Nov 28, 2023",I’m torn between him carrying her and her coming awake full protect baby battle mode ha,2871,5
"Nov 28, 2023",*sighs* *checks bank account * fuck.,1946,9
"Nov 28, 2023",Why do men always look so hot when they are bloodstained? 🥵,1194,30
"Nov 28, 2023","WellI absolutely love everything about this story. The art, the characters, the writing. All great and a joy to read. I can't wait to read more. Thank you for the be fun story. Take care.",1081,0
"Nov 28, 2023",Now why is he standing over her like the devil himself,788,1
"Nov 28, 2023",You are a master story teller! I've been at the edge of my seat this whole time. I really look forward to the rest of the story. Keep up your awesome work!,620,0
"Nov 28, 2023","It's so so good. The writer knows their characters and what gets us hooked, the wit, the dialogues THE STORY, the artist draws expression so perfectly, it's like the pick one word from each speech bubble and draw the mouth like an animator would, the colours, the backdrops. It all fits together so well. It's a great team. I'm completely invested!!",519,1
"Nov 29, 2023","Was that ba-dumm like heart palpitations? An ""OMG - she's so pretty & protective over my son like me""? Or was it more of a ""there's gonna be trouble"" ba-dumm??? 👁️👁️",442,0
"Nov 29, 2023",Her white collar is loose. I wonder if he will see the necklace that she is wearing that was given to her by her parents before their tragic death. Maybe the necklace means something.,344,0
"Nov 29, 2023",uh oh he's got blood on him and his tits are out again,318,1
"Jan 02, 2024",From Mikey's POV it just looks like Davina teleported with her mysterious nanny powers lmao.,282,0
"Nov 29, 2023",I guess the negotiations didn’t go so smoothly…,195,0
"Nov 28, 2023",wsg daddy welcome home 🙏,169,1
"Jan 02, 2024",imagine he just dropkicks her-,115,1
"Nov 28, 2023",Mikey’s Great Escape,96,0
"Nov 28, 2023",NOT ENOUGH EPISODES!!!!!!,88,1
"Nov 28, 2023",THIS is the kind of content I wanna burn cash for on Webtoon 🔥🔥🔥 gives off SpyxFamily vibes SIGN ME UP FOR MORE,74,0
"Jan 02, 2024",He can tuck them both in,66,0
"Jan 02, 2024",Mikey pls still be in ur room🤞🤞,63,0
"Dec 05, 2023",I just really like the fact that he wakes her up and helps her to her room. ☺️,76437,118
"Dec 05, 2023",The way he’s just laying there in a speedo is just chef’s kiss 😘,66122,557
"Dec 05, 2023",Mikey is really his papa’s twin in that he already knows all details of his papa’s business that he basically considers himself to be his right hand man.,52585,75
"Dec 05, 2023",Me expecting just normal bathing suit…not a speedo,9217,9
"Dec 05, 2023","yeah, he def doesn’t like the lifestyle he currently leads and everyone in the house is part of the dons team, not his. his wife probably tried to get mikey away from that life and that’s why they killed her",5144,1
"Dec 05, 2023",the speedo reveal made me burst out laughing,4894,4
